county,<0.5,0.5-0.74,0.75-0.99,1.00-1.24,1.25-1.49,1.50-1.74,1.75-1.84,1.85-1.99,2.00-2.99,3.00-3.99,4.00-4.99,>5.00
Towns,173,144,133,344,343,283,276,269,867,923,637,614
Treutlen,473,221,202,207,357,248,15,102,475,696,238,736
Troup,2651,1687,1871,1816,1768,2131,1019,1494,6405,5700,4455,7229
Turner,392,394,395,339,125,300,118,138,701,756,431,654
Twiggs,536,312,288,409,210,428,99,396,826,852,402,1175
Union,857,450,516,443,415,735,88,184,2266,1528,1394,2785
Upson,1073,1142,1113,867,907,1024,407,515,3283,2683,1190,2319
Walker,2818,1480,1759,1825,3016,2039,843,1361,8571,6203,4214,6691
Walton,2637,1229,1616,1642,1886,2576,1490,2004,7917,8293,5987,12856
Ware,1567,1005,1040,901,1154,666,543,666,3933,3050,2125,3400
Warren,396,253,104,271,84,84,304,75,975,329,230,421
Washington,1669,681,785,776,614,547,255,370,2459,1260,861,1595
Wayne,918,798,986,1333,1201,731,359,417,2692,2164,1887,2743
Webster,220,13,143,167,74,89,6,138,257,164,115,238
Wheeler,238,142,138,142,80,242,16,52,684,660,181,273
White,1368,752,1021,569,502,701,311,411,2937,2426,1803,3255
Whitfield,3618,2792,3617,3021,3198,3113,1525,2117,12878,7928,5796,10541
Wilcox,240,405,119,151,410,182,62,121,874,613,433,419
Wilkes,588,374,494,319,424,527,179,273,790,850,578,821
Wilkinson,429,367,223,242,202,103,104,376,1010,1028,466,1053
Worth,763,1247,413,521,936,832,508,248,2383,2005,1230,2080
